MRKT_DSC_SHRT,NIELSEN_SOURCE_TABLE,REVIEW_STATUS,AGG_LEVEL,CANAL_LVL1,CANAL_LVL2,REGION_TYPE,REGION_STD,REGION_DETAIL,canal_std,region_std
Total Autos San Luis Rio Colorado_MT,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,SAN LUIS RIO COLORADO,,AUTOSERVICIO,SAN LUIS RIO COLORADO
TRADICONAL MEXICO GDE,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL_GRANDES_MINISUPERS,CITY,MEXICO GDE,,TRADICIONAL_GRANDES_MINISUPERS,MEXICO GDE
Total Autos Orizaba,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,ORIZABA,,AUTOSERVICIO,ORIZABA
Autos Scanning Area 3,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,AREA,AREA_3,,AUTOSERVICIO_SCANNING,AREA_3
Autoservicios Surt. Completo Area 1,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SURTIDO_COMPLETO,AREA,AREA_1,,AUTOSERVICIO_SURTIDO_COMPLETO,AREA_1
Total Autos Guaymas_MT,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,GUAYMAS,,AUTOSERVICIO,GUAYMAS
Total Autos Villahermosa,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,VILLAHERMOSA,,AUTOSERVICIO,VILLAHERMOSA
Autos Scanning Area 6,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,AREA,AREA_6,,AUTOSERVICIO_SCANNING,AREA_6
Canal Tradicional _Area 1,EDP_NIELSEN,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,AREA,AREA_1,,TRADICIONAL,AREA_1
Canal Tradicional _Vdm Zona 3,EDP_NIELSEN,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,VDM,VDM,VDM_ZONA_3,TRADICIONAL,VDM
Grandes Cadenas De Autoservicio Monterrey_MT,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,MODERNO,GRANDES_CADENAS_AUTOSERVICIO,CITY,MONTERREY,,GRANDES_CADENAS_AUTOSERVICIO,MONTERREY
TRADICIONAL TIJUANA,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,CITY,TIJUANA,,TRADICIONAL,TIJUANA
Autoservicios Oaxaca,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,OAXACA,,AUTOSERVICIO,OAXACA
Canal Tradicional _Monterrey Zona 1,EDP_NIELSEN,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,CITY,MONTERREY ZONA 1,,TRADICIONAL,MONTERREY ZONA 1
Total Autos Matamoros,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,MATAMOROS,,AUTOSERVICIO,MATAMOROS
Autoservicios Playa Del Carmen,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,PLAYA DEL CARMEN,,AUTOSERVICIO,PLAYA DEL CARMEN
Autoservicios Scanning Cd. Cuauhtemoc,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,CD CUAUHTEMOC,,AUTOSERVICIO_SCANNING,CD CUAUHTEMOC
Total Area IV_MT,WATER_NIELSEN_RIE,CONFIRMED,TOTAL,TOTAL_MERCADO,TOTAL_MERCADO,AREA,AREA_4,,TOTAL_MERCADO,AREA_4
Autoservicios Poza Rica,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,POZA RICA,,AUTOSERVICIO,POZA RICA
Autoservicios Scanning Puebla,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,PUEBLA,,AUTOSERVICIO_SCANNING,PUEBLA
Autoservicios Surt. Completo Area 5,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SURTIDO_COMPLETO,AREA,AREA_5,,AUTOSERVICIO_SURTIDO_COMPLETO,AREA_5
Total Autos Merida,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,MERIDA,,AUTOSERVICIO,MERIDA
Autos Scanning Area 2,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,AREA,AREA_2,,AUTOSERVICIO_SCANNING,AREA_2
Autoservicios Scanning Tijuana,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,TIJUANA,,AUTOSERVICIO_SCANNING,TIJUANA
Autoservicios Surt. Extendido Area 3,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SURTIDO_EXTENDIDO,AREA,AREA_3,,AUTOSERVICIO_SURTIDO_EXTENDIDO,AREA_3
Autoservicios Surtido Completo_MT,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SURTIDO_COMPLETO,CITY,SURTIDO COMPLETO,,AUTOSERVICIO_SURTIDO_COMPLETO,SURTIDO COMPLETO
Autoservicios Nuevo Laredo,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,NUEVO LAREDO,,AUTOSERVICIO,NUEVO LAREDO
Canal Tradicional _Tijuana,EDP_NIELSEN,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,CITY,TIJUANA,,TRADICIONAL,TIJUANA
Tradicionales Pequenas _Total Mexico,EDP_NIELSEN,CONFIRMED,TOTAL,TRADICIONAL,TRADICIONAL_PEQUENAS_ESTANQUILLOS,NATIONAL,TOTAL_MEXICO,,TRADICIONAL_PEQUENAS_ESTANQUILLOS,TOTAL_MEXICO
Canal Tradicional _San Luis Potosi,EDP_NIELSEN,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,CITY,SAN LUIS POTOSI,,TRADICIONAL,SAN LUIS POTOSI
Autoservicios Scanning Mexicali,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,MEXICALI,,AUTOSERVICIO_SCANNING,MEXICALI
TRADICIONAL AREA VI,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,AREA,AREA_6,,TRADICIONAL,AREA_6
Total Autos Coatzacoalcos,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,COATZACOALCOS,,AUTOSERVICIO,COATZACOALCOS
Autoservicios Monterrey,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,MONTERREY,,AUTOSERVICIO,MONTERREY
Autoservicios Morelia,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,MORELIA,,AUTOSERVICIO,MORELIA
Total Autos Chihuahua,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,CHIHUAHUA,,AUTOSERVICIO,CHIHUAHUA
Autoservicios Scanning San Luis Potosi,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,SAN LUIS POTOSI,,AUTOSERVICIO_SCANNING,SAN LUIS POTOSI
TDC + Farmacias Cad + Hard Discounters Area 3,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,TDC_FARMACIAS_HARD_DISCOUNTERS,AREA,AREA_3,,TDC_FARMACIAS_HARD_DISCOUNTERS,AREA_3
TRADICIONAL TOLUCA.,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,CITY,TOLUCA,,TRADICIONAL,TOLUCA
TRADICIONALES PEQUENAS Y ESTANQUILLOS TOTAL MEXICO,WATER_NIELSEN_RIE,CONFIRMED,TOTAL,TRADICIONAL,TRADICIONAL_PEQUENAS_ESTANQUILLOS,NATIONAL,TOTAL_MEXICO,,TRADICIONAL_PEQUENAS_ESTANQUILLOS,TOTAL_MEXICO
Total Autos Cd. Obregon_MT,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,CD OBREGON,,AUTOSERVICIO,CD OBREGON
Total Autos San Andres Tuxtla,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,SAN ANDRES TUXTLA,,AUTOSERVICIO,SAN ANDRES TUXTLA
Autoservicios Scanning Guaymas,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,GUAYMAS,,AUTOSERVICIO_SCANNING,GUAYMAS
Autoservicios Scanning Monclova,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,MONCLOVA,,AUTOSERVICIO_SCANNING,MONCLOVA
Autoservicios Tepic,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,TEPIC,,AUTOSERVICIO,TEPIC
Autoservicios Piedras Negras,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,PIEDRAS NEGRAS,,AUTOSERVICIO,PIEDRAS NEGRAS
Total Autos Culiacan,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,CULIACAN,,AUTOSERVICIO,CULIACAN
Autoservicios Surt. Extendido Total Mexico,EDP_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO_SURTIDO_EXTENDIDO,NATIONAL,TOTAL_MEXICO,,AUTOSERVICIO_SURTIDO_EXTENDIDO,TOTAL_MEXICO
Total Autos Area 5,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_5,,AUTOSERVICIO,AREA_5
Total Autos Queretaro,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,QUERETARO,,AUTOSERVICIO,QUERETARO
Autoservicios Scanning Torreon,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,TORREON,,AUTOSERVICIO_SCANNING,TORREON
Total Autos Cd. Del Carmen_MT,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,CD DEL CARMEN,,AUTOSERVICIO,CD DEL CARMEN
Moderno Guadalajara_MT,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,MODERNO,MODERNO_TOTAL,CITY,GUADALAJARA,,MODERNO_TOTAL,GUADALAJARA
TRADICIONAL MONTERREY,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,CITY,MONTERREY,,TRADICIONAL,MONTERREY
Autoservicios Scanning Leon,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,LEON,,AUTOSERVICIO_SCANNING,LEON
Autoservicios Scanning Poza Rica,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,POZA RICA,,AUTOSERVICIO_SCANNING,POZA RICA
TRADICIONAL VDM,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,VDM,VDM,,TRADICIONAL,VDM
Total Area III_MT,WATER_NIELSEN_RIE,CONFIRMED,TOTAL,TOTAL_MERCADO,TOTAL_MERCADO,AREA,AREA_3,,TOTAL_MERCADO,AREA_3
Total Autos Tuxtla Gutierrez,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,TUXTLA GUTIERREZ,,AUTOSERVICIO,TUXTLA GUTIERREZ
Autoservicios Guadalajara,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,GUADALAJARA,,AUTOSERVICIO,GUADALAJARA
Total _Area 2,EDP_NIELSEN,CONFIRMED,TOTAL,TOTAL_MERCADO,TOTAL_MERCADO,AREA,AREA_2,,TOTAL_MERCADO,AREA_2
Total Autos Irapuato,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,IRAPUATO,,AUTOSERVICIO,IRAPUATO
Total Autos Leon,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,LEON,,AUTOSERVICIO,LEON
Autoservicios Surtido Completo Area 6_MT,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SURTIDO_COMPLETO,AREA,AREA_6,,AUTOSERVICIO_SURTIDO_COMPLETO,AREA_6
Total Autos Tijuana,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,TIJUANA,,AUTOSERVICIO,TIJUANA
Autoservicios Reynosa,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,REYNOSA,,AUTOSERVICIO,REYNOSA
Autoservicios Scanning Merida,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,MERIDA,,AUTOSERVICIO_SCANNING,MERIDA
Autoservicios Surt. Esencial Area 4,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SURTIDO_ESENCIAL,AREA,AREA_4,,AUTOSERVICIO_SURTIDO_ESENCIAL,AREA_4
Canal Tradicional _Area 5,EDP_NIELSEN,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,AREA,AREA_5,,TRADICIONAL,AREA_5
Autoservicios Scanning Queretaro,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,QUERETARO,,AUTOSERVICIO_SCANNING,QUERETARO
Total Autos La Paz,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,LA PAZ,,AUTOSERVICIO,LA PAZ
Autoservicios Scanning Minatitlan,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,MINATITLAN,,AUTOSERVICIO_SCANNING,MINATITLAN
Total Autos Tapachula,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,TAPACHULA,,AUTOSERVICIO,TAPACHULA
Autoservicios Veracruz,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,VERACRUZ,,AUTOSERVICIO,VERACRUZ
Total Autos Puebla,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,PUEBLA,,AUTOSERVICIO,PUEBLA
Total Autos Mazatlan,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,MAZATLAN,,AUTOSERVICIO,MAZATLAN
Autoservicios Scanning Orizaba,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,ORIZABA,,AUTOSERVICIO_SCANNING,ORIZABA
TRADICIONAL AREA IV,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,AREA,AREA_4,,TRADICIONAL,AREA_4
Proximidad Guadalajara_MT,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,MODERNO,PROXIMIDAD,CITY,GUADALAJARA,,PROXIMIDAD,GUADALAJARA
TRADICIONAL JUAREZ,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,CITY,JUAREZ,,TRADICIONAL,JUAREZ
Autoservicios Scanning Monterrey,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,MONTERREY,,AUTOSERVICIO_SCANNING,MONTERREY
Autoservicios Scanning Piedras Negras,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,PIEDRAS NEGRAS,,AUTOSERVICIO_SCANNING,PIEDRAS NEGRAS
Total _Area 6,EDP_NIELSEN,CONFIRMED,TOTAL,TOTAL_MERCADO,TOTAL_MERCADO,AREA,AREA_6,,TOTAL_MERCADO,AREA_6
Autoservicios Minatitlan,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,MINATITLAN,,AUTOSERVICIO,MINATITLAN
Total Autos Area 1,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_1,,AUTOSERVICIO,AREA_1
Total Autos Area 2,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_2,,AUTOSERVICIO,AREA_2
Autoservicios San Luis Potosi,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,SAN LUIS POTOSI,,AUTOSERVICIO,SAN LUIS POTOSI
C. Moderno Area 1_MT,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,MODERNO,MODERNO_TOTAL,AREA,AREA_1,,MODERNO_TOTAL,AREA_1
TOTAL AUTOS SCANNING MEXICO,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO_SCANNING,CITY,MEXICO,,AUTOSERVICIO_SCANNING,MEXICO
Autoservicios Mayoristas Area 4,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIOS_MAYORISTAS,AREA,AREA_4,,AUTOSERVICIOS_MAYORISTAS,AREA_4
Autoservicios Surtido Extendido_MT,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SURTIDO_EXTENDIDO,CITY,SURTIDO EXTENDIDO,,AUTOSERVICIO_SURTIDO_EXTENDIDO,SURTIDO EXTENDIDO
Total Autos Cd. Valles,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,CD VALLES,,AUTOSERVICIO,CD VALLES
Autoservicios Scanning Cozumel,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,COZUMEL,,AUTOSERVICIO_SCANNING,COZUMEL
Total Autos Jalapa,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,JALAPA,,AUTOSERVICIO,JALAPA
Grandes Cadenas De Autoservicio_MT,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,MODERNO,GRANDES_CADENAS_AUTOSERVICIO,CITY,GRANDES CADENAS DE AUTOSERVICIO,,GRANDES_CADENAS_AUTOSERVICIO,GRANDES CADENAS DE AUTOSERVICIO
TDC + Farmacias Cad + Hard Discounters Area 2,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,TDC_FARMACIAS_HARD_DISCOUNTERS,AREA,AREA_2,,TDC_FARMACIAS_HARD_DISCOUNTERS,AREA_2
TRADICIONAL MEXICO PEQUENAS,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL_PEQUENAS_ESTANQUILLOS,CITY,MEXICO PEQUENAS,,TRADICIONAL_PEQUENAS_ESTANQUILLOS,MEXICO PEQUENAS
Autoservicios Mayoristas Total Mexico,EDP_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIOS_MAYORISTAS,NATIONAL,TOTAL_MEXICO,,AUTOSERVICIOS_MAYORISTAS,TOTAL_MEXICO
Canal Tradicional _Guadalajara Zona 3,EDP_NIELSEN,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,CITY,GUADALAJARA ZONA 3,,TRADICIONAL,GUADALAJARA ZONA 3
Canal Tradicional _Merida,EDP_NIELSEN,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,CITY,MERIDA,,TRADICIONAL,MERIDA
Total Autos Durango,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,DURANGO,,AUTOSERVICIO,DURANGO
T. Pais Mexico_MT,WATER_NIELSEN_RIE,CONFIRMED,TOTAL,TOTAL_MERCADO,TOTAL_MERCADO,NATIONAL,TOTAL_MEXICO,,TOTAL_MERCADO,TOTAL_MEXICO
Total Area VI_MT,WATER_NIELSEN_RIE,CONFIRMED,TOTAL,TOTAL_MERCADO,TOTAL_MERCADO,AREA,AREA_6,,TOTAL_MERCADO,AREA_6
Autoservicios Scanning Cuernavaca,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,CUERNAVACA,,AUTOSERVICIO_SCANNING,CUERNAVACA
Autoservicios Surtido Completo Area 3_MT,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SURTIDO_COMPLETO,AREA,AREA_3,,AUTOSERVICIO_SURTIDO_COMPLETO,AREA_3
Canal Moderno Area 6.1 Peninsula,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,MODERNO_TOTAL,AREA,AREA_6,AREA_6_1_PENINSULA,MODERNO_TOTAL,AREA_6
TRADICIONAL GUADALAJARA,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,CITY,GUADALAJARA,,TRADICIONAL,GUADALAJARA
Total Autos Tecate_MT,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,TECATE,,AUTOSERVICIO,TECATE
Autoservicios Surt. Esencial Area 3,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SURTIDO_ESENCIAL,AREA,AREA_3,,AUTOSERVICIO_SURTIDO_ESENCIAL,AREA_3
Total Autos Tepic,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,TEPIC,,AUTOSERVICIO,TEPIC
TRADICIONAL MORELIA,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,CITY,MORELIA,,TRADICIONAL,MORELIA
Autoservicios Ahome,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,AHOME,,AUTOSERVICIO,AHOME
Total Autos Baja California,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,BAJA CALIFORNIA,,AUTOSERVICIO,BAJA CALIFORNIA
Autoservicios Scanning Tuxtla Gutierrez,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,TUXTLA GUTIERREZ,,AUTOSERVICIO_SCANNING,TUXTLA GUTIERREZ
Autoservicios Scanning Xalapa,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,XALAPA,,AUTOSERVICIO_SCANNING,XALAPA
Canal Tradicional _Veracruz,EDP_NIELSEN,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,CITY,VERACRUZ,,TRADICIONAL,VERACRUZ
Autoservicios Scanning Morelia,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,MORELIA,,AUTOSERVICIO_SCANNING,MORELIA
Autoservicios Scanning Durango,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,DURANGO,,AUTOSERVICIO_SCANNING,DURANGO
Canal Tradicional _Monterrey,EDP_NIELSEN,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,CITY,MONTERREY,,TRADICIONAL,MONTERREY
Total Autos Area 3,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_3,,AUTOSERVICIO,AREA_3
Autoservicios Scanning Tampico,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,TAMPICO,,AUTOSERVICIO_SCANNING,TAMPICO
