MRKT_DSC_SHRT,NIELSEN_SOURCE_TABLE,REVIEW_STATUS,AGG_LEVEL,CANAL_LVL1,CANAL_LVL2,REGION_TYPE,REGION_STD,REGION_DETAIL,canal_std,region_std
Autoservicios Surt. Esencial Area 1,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_1,,AUTOSERVICIO,AREA_1
Autoservicios Surt. Completo Area 3,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_3,,AUTOSERVICIO,AREA_3
Autos Scanning Area 4,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO_SCANNING,AREA,AREA_4,,AUTOSERVICIO_SCANNING,AREA_4
Autoservicios Surt. Esencial Area 5,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_5,,AUTOSERVICIO,AREA_5
Autoservicios Surt. Esencial Area 2,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_2,,AUTOSERVICIO,AREA_2
Autoservicios Surt. Completo Area 5,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_5,,AUTOSERVICIO,AREA_5
Autoservicios Surt. Extendido Area 5,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_5,,AUTOSERVICIO,AREA_5
Autoservicios Surt. Extendido Area 2,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_2,,AUTOSERVICIO,AREA_2
Autoservicios Surt. Esencial Area 3,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_3,,AUTOSERVICIO,AREA_3
Autoservicios Surt. Completo Area 1,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_1,,AUTOSERVICIO,AREA_1
Autoservicios Surt. Completo Area 4,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_4,,AUTOSERVICIO,AREA_4
Autoservicios Surt. Esencial Total Mexico,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,TOTAL_MEXICO,TOTAL_MEXICO,,AUTOSERVICIO,TOTAL_MEXICO
Autos Scanning Area 2,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO_SCANNING,AREA,AREA_2,,AUTOSERVICIO_SCANNING,AREA_2
Autos Scanning Area 6,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO_SCANNING,AREA,AREA_6,,AUTOSERVICIO_SCANNING,AREA_6
Autoservicios Surt. Extendido Area 6,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_6,,AUTOSERVICIO,AREA_6
Autoservicios Surt. Extendido Area 1,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_1,,AUTOSERVICIO,AREA_1
Autoservicios Surt. Extendido Area 4,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_4,,AUTOSERVICIO,AREA_4
Autos Scanning Area 3,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO_SCANNING,AREA,AREA_3,,AUTOSERVICIO_SCANNING,AREA_3
Autoservicios Scanning Tijuana,PB_NIELSEN,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,TIJUANA,,AUTOSERVICIO_SCANNING,TIJUANA
Autoservicios Surt. Completo Area 2,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_2,,AUTOSERVICIO,AREA_2
Autoservicios Surt. Extendido Total Mexico,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,TOTAL_MEXICO,TOTAL_MEXICO,,AUTOSERVICIO,TOTAL_MEXICO
Autos Scanning Total Mexico,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO_SCANNING,TOTAL_MEXICO,TOTAL_MEXICO,,AUTOSERVICIO_SCANNING,TOTAL_MEXICO
Autos Scanning Area 1,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO_SCANNING,AREA,AREA_1,,AUTOSERVICIO_SCANNING,AREA_1
Autoservicios Surt. Completo Area 6,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_6,,AUTOSERVICIO,AREA_6
Autoservicios Surt. Completo Total Mexico,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,TOTAL_MEXICO,TOTAL_MEXICO,,AUTOSERVICIO,TOTAL_MEXICO
Autoservicios Surt. Esencial Area 4,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_4,,AUTOSERVICIO,AREA_4
Autoservicios Surt. Extendido Area 3,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_3,,AUTOSERVICIO,AREA_3
Autos Scanning Area 5,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO_SCANNING,AREA,AREA_5,,AUTOSERVICIO_SCANNING,AREA_5
Autoservicios Surt. Esencial Area 6,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_6,,AUTOSERVICIO,AREA_6
Autoservicios Scanning Ensenada,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,ENSENADA,ENSENADA,AUTOSERVICIO_SCANNING,ENSENADA
Autos Scanning Area 4,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO_SCANNING,AREA,AREA_4,AREA_4,AUTOSERVICIO_SCANNING,AREA_4
Autos Scanning Areas 3 + 4 + 5 +6,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO_SCANNING,AREA,AREA_3_6,AREA_3_6,AUTOSERVICIO_SCANNING,AREA_3_6
Autoservicios Surt. Extendido Area 5,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_5,AREA_5,AUTOSERVICIO,AREA_5
Autoservicios Scanning Minatitlan,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,MINATITLAN,MINATITLAN,AUTOSERVICIO_SCANNING,MINATITLAN
Autoservicios Surt. Extendido Area 3,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_3,AREA_3,AUTOSERVICIO,AREA_3
Autoservicios Surt. Completo Area 5,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_5,AREA_5,AUTOSERVICIO,AREA_5
Autoservicios Scanning Leon,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,LEON,LEON,AUTOSERVICIO_SCANNING,LEON
Autoservicios Surt. Extendido Area 6,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_6,AREA_6,AUTOSERVICIO,AREA_6
Autoservicios Scanning Aguascalientes,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,AGUASCALIENTES,AGUASCALIENTES,AUTOSERVICIO_SCANNING,AGUASCALIENTES
Autoservicios Scanning Acapulco,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,ACAPULCO,ACAPULCO,AUTOSERVICIO_SCANNING,ACAPULCO
Autoservicios Scanning Veracruz,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,VERACRUZ,VERACRUZ,AUTOSERVICIO_SCANNING,VERACRUZ
Autoservicios Scanning Cozumel,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,COZUMEL,COZUMEL,AUTOSERVICIO_SCANNING,COZUMEL
Autoservicios Scanning Orizaba,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,ORIZABA,ORIZABA,AUTOSERVICIO_SCANNING,ORIZABA
Autoservicios Scanning Merida,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,MERIDA,MERIDA,AUTOSERVICIO_SCANNING,MERIDA
Autoservicios Scanning La Paz,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,LA PAZ,LA PAZ,AUTOSERVICIO_SCANNING,LA PAZ
Autoservicios Scanning Tijuana,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,TIJUANA,TIJUANA,AUTOSERVICIO_SCANNING,TIJUANA
Autoservicios Scanning Queretaro,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,QUERETARO,QUERETARO,AUTOSERVICIO_SCANNING,QUERETARO
Autoservicios Scanning Poza Rica,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,POZA RICA,POZA RICA,AUTOSERVICIO_SCANNING,POZA RICA
Autos Scanning Area 1,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO_SCANNING,AREA,AREA_1,AREA_1,AUTOSERVICIO_SCANNING,AREA_1
Autoservicios Surt. Esencial Total Mexico,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,TOTAL_MEXICO,TOTAL_MEXICO,TOTAL_MEXICO,AUTOSERVICIO,TOTAL_MEXICO
Total Autos Baja California_MT,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,CITY,BAJA CALIFORNIA,BAJA CALIFORNIA,AUTOSERVICIO,BAJA CALIFORNIA
Autoservicios Scanning Piedras Negras,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,PIEDRAS NEGRAS,PIEDRAS NEGRAS,AUTOSERVICIO_SCANNING,PIEDRAS NEGRAS
Autoservicios Scanning Mexicali,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,MEXICALI,MEXICALI,AUTOSERVICIO_SCANNING,MEXICALI
Autoservicios Surt. Completo Area 4,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_4,AREA_4,AUTOSERVICIO,AREA_4
Autoservicios Surt. Completo Area 1,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_1,AREA_1,AUTOSERVICIO,AREA_1
Autoservicios Scanning Mazatlan,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,MAZATLAN,MAZATLAN,AUTOSERVICIO_SCANNING,MAZATLAN
Autoservicios Scanning Villahermosa,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,VILLAHERMOSA,VILLAHERMOSA,AUTOSERVICIO_SCANNING,VILLAHERMOSA
Autoservicios Surt. Esencial Area 3,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_3,AREA_3,AUTOSERVICIO,AREA_3
Autoservicios Scanning Saltillo,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,SALTILLO,SALTILLO,AUTOSERVICIO_SCANNING,SALTILLO
Autoservicios Scanning Culiacan,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,CULIACAN,CULIACAN,AUTOSERVICIO_SCANNING,CULIACAN
Autoservicios Scanning Tepic,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,TEPIC,TEPIC,AUTOSERVICIO_SCANNING,TEPIC
Autoservicios Surt. Extendido Total Mexico,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,TOTAL_MEXICO,TOTAL_MEXICO,TOTAL_MEXICO,AUTOSERVICIO,TOTAL_MEXICO
Autoservicios Scanning Tuxtla Gutierrez,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,TUXTLA GUTIERREZ,TUXTLA GUTIERREZ,AUTOSERVICIO_SCANNING,TUXTLA GUTIERREZ
Autos Scanning Area 2,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO_SCANNING,AREA,AREA_2,AREA_2,AUTOSERVICIO_SCANNING,AREA_2
Autoservicios Scanning Cancun,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,CANCUN,CANCUN,AUTOSERVICIO_SCANNING,CANCUN
Autoservicios Scanning Playa del Carmen,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,PLAYA DEL CARMEN,PLAYA DEL CARMEN,AUTOSERVICIO_SCANNING,PLAYA DEL CARMEN
Autos Scanning Area 6,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO_SCANNING,AREA,AREA_6,AREA_6,AUTOSERVICIO_SCANNING,AREA_6
Autoservicios Surt. Esencial Area 1,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_1,AREA_1,AUTOSERVICIO,AREA_1
Autoservicios Scanning Oaxaca,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,OAXACA,OAXACA,AUTOSERVICIO_SCANNING,OAXACA
Autoservicios Scanning Matamoros,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,MATAMOROS,MATAMOROS,AUTOSERVICIO_SCANNING,MATAMOROS
Autoservicios Surt. Extendido Area 2,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_2,AREA_2,AUTOSERVICIO,AREA_2
Autoservicios Surt. Extendido Area 1,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_1,AREA_1,AUTOSERVICIO,AREA_1
Autoservicios Scanning Nogales,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,NOGALES,NOGALES,AUTOSERVICIO_SCANNING,NOGALES
Autoservicios Surt. Esencial Area 4,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_4,AREA_4,AUTOSERVICIO,AREA_4
Autoservicios Scanning Ahome,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,AHOME,AHOME,AUTOSERVICIO_SCANNING,AHOME
Autoservicios Scanning Guadalajara,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,GUADALAJARA,GUADALAJARA,AUTOSERVICIO_SCANNING,GUADALAJARA
Autoservicios Scanning Valle de Mexico,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,VDM,VDM,VDM,AUTOSERVICIO_SCANNING,VDM
Autoservicios Scanning Torreon,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,TORREON,TORREON,AUTOSERVICIO_SCANNING,TORREON
Autoservicios Scanning Irapuato,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,IRAPUATO,IRAPUATO,AUTOSERVICIO_SCANNING,IRAPUATO
Autoservicios Surt. Extendido Area 4,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_4,AREA_4,AUTOSERVICIO,AREA_4
Autoservicios Surt. Completo Area 3,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_3,AREA_3,AUTOSERVICIO,AREA_3
Autoservicios Surt. Esencial Area 6,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_6,AREA_6,AUTOSERVICIO,AREA_6
Autoservicios Scanning Reynosa,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,REYNOSA,REYNOSA,AUTOSERVICIO_SCANNING,REYNOSA
Autoservicios Scanning Campeche,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,CAMPECHE,CAMPECHE,AUTOSERVICIO_SCANNING,CAMPECHE
Autos Scanning Areas 1 + 2,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO_SCANNING,AREA,AREA_1_2,AREA_1_2,AUTOSERVICIO_SCANNING,AREA_1_2
Autoservicios Scanning Puerto Vallarta,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,PUERTO VALLARTA,PUERTO VALLARTA,AUTOSERVICIO_SCANNING,PUERTO VALLARTA
Autoservicios Scanning Tampico,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,TAMPICO,TAMPICO,AUTOSERVICIO_SCANNING,TAMPICO
Autoservicios Scanning Cuernavaca,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,CUERNAVACA,CUERNAVACA,AUTOSERVICIO_SCANNING,CUERNAVACA
Autoservicios Scanning Nuevo Laredo,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,NUEVO LAREDO,NUEVO LAREDO,AUTOSERVICIO_SCANNING,NUEVO LAREDO
Autoservicios Scanning Durango,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,DURANGO,DURANGO,AUTOSERVICIO_SCANNING,DURANGO
Autoservicios Scanning Cd. del Carmen,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,CD DEL CARMEN,CD DEL CARMEN,AUTOSERVICIO_SCANNING,CD DEL CARMEN
Autoservicios Scanning Xalapa,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,XALAPA,XALAPA,AUTOSERVICIO_SCANNING,XALAPA
Autos Scanning Area 3,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO_SCANNING,AREA,AREA_3,AREA_3,AUTOSERVICIO_SCANNING,AREA_3
Autoservicios Surt. Completo Total Mexico,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,TOTAL_MEXICO,TOTAL_MEXICO,TOTAL_MEXICO,AUTOSERVICIO,TOTAL_MEXICO
Autoservicios Scanning Cd. Obregon,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,CD OBREGON,CD OBREGON,AUTOSERVICIO_SCANNING,CD OBREGON
Autoservicios Scanning San Luis Potosi,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,SAN LUIS POTOSI,SAN LUIS POTOSI,AUTOSERVICIO_SCANNING,SAN LUIS POTOSI
Autoservicios Scanning Monclova,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,MONCLOVA,MONCLOVA,AUTOSERVICIO_SCANNING,MONCLOVA
Autoservicios Scanning Los Cabos,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,LOS CABOS,LOS CABOS,AUTOSERVICIO_SCANNING,LOS CABOS
Autoservicios Surt. Completo Area 6,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_6,AREA_6,AUTOSERVICIO,AREA_6
Autoservicios Surt. Esencial Area 5,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_5,AREA_5,AUTOSERVICIO,AREA_5
Autoservicios Scanning Chihuahua,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,CHIHUAHUA,CHIHUAHUA,AUTOSERVICIO_SCANNING,CHIHUAHUA
Autos Scanning Total Mexico,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO_SCANNING,TOTAL_MEXICO,TOTAL_MEXICO,TOTAL_MEXICO,AUTOSERVICIO_SCANNING,TOTAL_MEXICO
Autoservicios Scanning Delicias,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,DELICIAS,DELICIAS,AUTOSERVICIO_SCANNING,DELICIAS
Autoservicios Scanning Hermosillo,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,HERMOSILLO,HERMOSILLO,AUTOSERVICIO_SCANNING,HERMOSILLO
Autoservicios Surt. Completo Area 2,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_2,AREA_2,AUTOSERVICIO,AREA_2
Autos Scanning Area 5,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO_SCANNING,AREA,AREA_5,AREA_5,AUTOSERVICIO_SCANNING,AREA_5
Autoservicios Scanning Morelia,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,MORELIA,MORELIA,AUTOSERVICIO_SCANNING,MORELIA
Autoservicios Surt. Esencial Area 2,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_2,AREA_2,AUTOSERVICIO,AREA_2
Autoservicios Scanning Coatzacoalcos,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,COATZACOALCOS,COATZACOALCOS,AUTOSERVICIO_SCANNING,COATZACOALCOS
Autoservicios Scanning Puebla,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,PUEBLA,PUEBLA,AUTOSERVICIO_SCANNING,PUEBLA
Autoservicios Scanning Monterrey,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,MONTERREY,MONTERREY,AUTOSERVICIO_SCANNING,MONTERREY
