raw_variant,brand_original,source_system,source_column,coverage_status,promoted,marca_std,grain_count,action
AGUAS_TAGARE,AGUAS_TAGARE,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,14,ACTION_REQUIRED
AGUA_OASIS,AGUA_OASIS,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,343,ACTION_REQUIRED
AGUA_PASCUAL,AGUA_PASCUAL,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,400,ACTION_REQUIRED
BELIGHT,BELIGHT,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,5256,ACTION_REQUIRED
BODEGAAURRERA,BODEGAAURRERA,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,1,ACTION_REQUIRED
BOING,BOING,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,13993,ACTION_REQUIRED
CANADADRY,CANADADRY,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,1564,ACTION_REQUIRED
CIFRUT,CIFRUT,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,716,ACTION_REQUIRED
CUNNINGTON,CUNNINGTON,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,11,ACTION_REQUIRED
DELVALLE,DELVALLE,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,1571,ACTION_REQUIRED
DELVALLE_FIZZ,DELVALLE_FIZZ,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,9142,ACTION_REQUIRED
DELVALLE_FRUT,DELVALLE_FRUT,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,2892,ACTION_REQUIRED
DELVALLE_JUNIOR,DELVALLE_JUNIOR,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,388,ACTION_REQUIRED
DGARI,DGARI,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,6299,ACTION_REQUIRED
DRPEPPER,DRPEPPER,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,1142,ACTION_REQUIRED
EPURA,EPURA,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,55616,ACTION_REQUIRED
FANTA,FANTA,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,2798,ACTION_REQUIRED
FRESCA,FRESCA,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,1183,ACTION_REQUIRED
FRUVITA,FRUVITA,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,337,ACTION_REQUIRED
JARRITOS,JARRITOS,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,1515,ACTION_REQUIRED
JOYA,JOYA,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,9,ACTION_REQUIRED
LULU,LULU,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,12,ACTION_REQUIRED
MANZANITA,MANZANITA,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,4447,ACTION_REQUIRED
MINERALITA,MINERALITA,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,72,ACTION_REQUIRED
MIRINDA,MIRINDA,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,3568,ACTION_REQUIRED
MUNDET,MUNDET,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,5489,ACTION_REQUIRED
NECTASIS,NECTASIS,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,558,ACTION_REQUIRED
NOTMILK,NOTMILK,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,1,ACTION_REQUIRED
NUTRILECHE,NUTRILECHE,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,11239,ACTION_REQUIRED
PASCUAL,PASCUAL,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,5,ACTION_REQUIRED
PERRIER,PERRIER,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
PULP,PULP,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,855,ACTION_REQUIRED
REDCOLA,REDCOLA,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,2681,ACTION_REQUIRED
SANGRIA,SANGRIA,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,77,ACTION_REQUIRED
SANTAMARIA,SANTAMARIA,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,3683,ACTION_REQUIRED
SCHWEPPES,SCHWEPPES,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,1323,ACTION_REQUIRED
SKARCH,SKARCH,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,2533,ACTION_REQUIRED
SKARCH_FRUTALE,SKARCH_FRUTALE,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,524,ACTION_REQUIRED
SKARCH_MINERAL,SKARCH_MINERAL,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,164,ACTION_REQUIRED
SPRITE,SPRITE,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,743,ACTION_REQUIRED
SQUIRT,SQUIRT,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,4151,ACTION_REQUIRED
TOPOCHICO,TOPOCHICO,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,31,ACTION_REQUIRED
VITALOE,VITALOE,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,28356,ACTION_REQUIRED
YAKULT,YAKULT,MKT_OFF,MARCA,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,46528,ACTION_REQUIRED
A MORA TI,A MORA TI,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
ACTIMEL,ACTIMEL,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
AGUASCALIENTES,AGUASCALIENTES,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,48,ACTION_REQUIRED
AL DIA,AL DIA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,136,ACTION_REQUIRED
ALDAMA,ALDAMA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
ALMAGUER,ALMAGUER,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
ANELA,ANELA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,18,ACTION_REQUIRED
ARACELI,ARACELI,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,18,ACTION_REQUIRED
ARISBEY,ARISBEY,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,47,ACTION_REQUIRED
ART,ART,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,67,ACTION_REQUIRED
BAD MOOD,BAD MOOD,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,14,ACTION_REQUIRED
BAKER'S BITES,BAKER'S BITES,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,10,ACTION_REQUIRED
BAMBI,BAMBI,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,73,ACTION_REQUIRED
BELL,BELL,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,25,ACTION_REQUIRED
BELLINI,BELLINI,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,11,ACTION_REQUIRED
BELOE,BELOE,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
BIO 4,BIO 4,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,46,ACTION_REQUIRED
BIO 4BALAN-CE,BIO 4BALAN-CE,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,56,ACTION_REQUIRED
BIOLAC,BIOLAC,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
BIORGANIC,BIORGANIC,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,17,ACTION_REQUIRED
BOIRE,BOIRE,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,16,ACTION_REQUIRED
BOLYOGHURT,BOLYOGHURT,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
BONACULT,BONACULT,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
BONAFINA,BONAFINA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,49,ACTION_REQUIRED
BONDELI,BONDELI,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,10,ACTION_REQUIRED
BONTA,BONTA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
BONTA DIVINA,BONTA DIVINA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,18,ACTION_REQUIRED
BONYUR,BONYUR,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,26,ACTION_REQUIRED
BOVE,BOVE,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,70,ACTION_REQUIRED
BREAK,BREAK,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,32,ACTION_REQUIRED
CAMPO ALEGRE,CAMPO ALEGRE,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,37,ACTION_REQUIRED
CARACOL,CARACOL,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,24,ACTION_REQUIRED
CASA BLANCA,CASA BLANCA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,10,ACTION_REQUIRED
CASA PROBIOTICOS,CASA PROBIOTICOS,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,12,ACTION_REQUIRED
CHAMYTO,CHAMYTO,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,32,ACTION_REQUIRED
CHELSY,CHELSY,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
CHEN,CHEN,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,14,ACTION_REQUIRED
CHIA MIA,CHIA MIA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,20,ACTION_REQUIRED
CHILCHOTA,CHILCHOTA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,143,ACTION_REQUIRED
CHIQUITIN,CHIQUITIN,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,53,ACTION_REQUIRED
CHOBANI,CHOBANI,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,345,ACTION_REQUIRED
CHOIX,CHOIX,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
CLUB,CLUB,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,42,ACTION_REQUIRED
CREMERIA CHALCO,CREMERIA CHALCO,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
CREMOSO ALPURA,CREMOSO ALPURA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
CUADRITOS,CUADRITOS,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,34,ACTION_REQUIRED
D'GARI,D'GARI,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,39,ACTION_REQUIRED
DALUH,DALUH,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,36,ACTION_REQUIRED
DE LA ABUELA,DE LA ABUELA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,25,ACTION_REQUIRED
DELIGHURT,DELIGHURT,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,34,ACTION_REQUIRED
DELIRIO NATURAL,DELIRIO NATURAL,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,16,ACTION_REQUIRED
DIVERTIGELL,DIVERTIGELL,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,10,ACTION_REQUIRED
DOLCE FLAN,DOLCE FLAN,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,10,ACTION_REQUIRED
DONA PINTA,DONA PINTA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,14,ACTION_REQUIRED
DULAIT,DULAIT,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
DULCES SOLIS,DULCES SOLIS,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,10,ACTION_REQUIRED
EHRMANN,EHRMANN,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,20,ACTION_REQUIRED
EL ACICATE,EL ACICATE,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,25,ACTION_REQUIRED
EL CIRUELO,EL CIRUELO,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
EL PINAR,EL PINAR,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
EL SABINO,EL SABINO,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,25,ACTION_REQUIRED
ELI,ELI,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
ESTI,ESTI,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,19,ACTION_REQUIRED
FAGE,FAGE,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,117,ACTION_REQUIRED
FLANBY,FLANBY,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
FLANDY,FLANDY,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,15,ACTION_REQUIRED
FLIPPER,FLIPPER,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,31,ACTION_REQUIRED
FLOR DE ALFALFA,FLOR DE ALFALFA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,75,ACTION_REQUIRED
FLORENTINA,FLORENTINA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,24,ACTION_REQUIRED
FORAGER,FORAGER,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,62,ACTION_REQUIRED
FORTI,FORTI,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,12,ACTION_REQUIRED
FRUGGIS,FRUGGIS,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,19,ACTION_REQUIRED
FRUTTISIMA,FRUTTISIMA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,24,ACTION_REQUIRED
GASTRO PROTECT,GASTRO PROTECT,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,43,ACTION_REQUIRED
GELATIX,GELATIX,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,11,ACTION_REQUIRED
GELY CREAM,GELY CREAM,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
GERBER,GERBER,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,16,ACTION_REQUIRED
GLAD,GLAD,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
GOTA BLANCA,GOTA BLANCA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,24,ACTION_REQUIRED
GRANDMA S,GRANDMA S,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,10,ACTION_REQUIRED
GRANJA,GRANJA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,14,ACTION_REQUIRED
GREEN FEELING,GREEN FEELING,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,14,ACTION_REQUIRED
GRIEGO,GRIEGO,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,17,ACTION_REQUIRED
HUNT'S,HUNT'S,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
ISSANA,ISSANA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,30,ACTION_REQUIRED
JERSEY,JERSEY,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,39,ACTION_REQUIRED
KASUL PLUS,KASUL PLUS,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,19,ACTION_REQUIRED
KIPURI,KIPURI,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
KOOL-AID,KOOL-AID,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,10,ACTION_REQUIRED
KOURELLAS,KOURELLAS,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,13,ACTION_REQUIRED
LA ABUELA,LA ABUELA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
LA CASERA,LA CASERA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,16,ACTION_REQUIRED
LA HACIENDA ANTIGUA,LA HACIENDA ANTIGUA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,29,ACTION_REQUIRED
LA LECHERA,LA LECHERA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
LA NENA,LA NENA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,10,ACTION_REQUIRED
LA PASTORA,LA PASTORA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,24,ACTION_REQUIRED
LA PILARICA,LA PILARICA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,20,ACTION_REQUIRED
LA PRIMAVERA,LA PRIMAVERA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,83,ACTION_REQUIRED
LA QUESERA DE SALAMANCA,LA QUESERA DE SALAMANCA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
LA TIA SARA,LA TIA SARA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,43,ACTION_REQUIRED
LACTEOS MOJICA,LACTEOS MOJICA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,19,ACTION_REQUIRED
LACTIGURT,LACTIGURT,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,41,ACTION_REQUIRED
LAKEVIEW,LAKEVIEW,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
LALA CULT,LALA CULT,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,25,ACTION_REQUIRED
LALA SEMILLAS,LALA SEMILLAS,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,38,ACTION_REQUIRED
LAS MORAS,LAS MORAS,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,12,ACTION_REQUIRED
LEOLI,LEOLI,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,35,ACTION_REQUIRED
LEON,LEON,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,46,ACTION_REQUIRED
LEVIA,LEVIA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,84,ACTION_REQUIRED
LICUADO NESTLE,LICUADO NESTLE,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,67,ACTION_REQUIRED
LIFEWAY,LIFEWAY,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,66,ACTION_REQUIRED
LIZETH,LIZETH,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,29,ACTION_REQUIRED
LONCH EXPRESS,LONCH EXPRESS,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
LOS 19 HERMANOS,LOS 19 HERMANOS,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,121,ACTION_REQUIRED
LOS AZAHARES,LOS AZAHARES,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
