mrkt_dsc_shrt,mrkt_dsc_shrt_norm,market_key,canal_std,canal_lvl1,canal_lvl2,agg_level,region_type,region_std,region_detail,is_total_mexico,is_scanning,source_cbu,promoted,confirmation_status,notes
Autoservicios Scanning Matamoros,AUTOSERVICIOS SCANNING MATAMOROS,77a1470ed2dc022b,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,MATAMOROS,MATAMOROS,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Surt. Extendido Area 2,AUTOSERVICIOS SURT. EXTENDIDO AREA 2,d6ef229216d007f2,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_2,AREA_2,NO,NO,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Surt. Extendido Area 1,AUTOSERVICIOS SURT. EXTENDIDO AREA 1,28c9198a052afc48,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_1,AREA_1,NO,NO,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Nogales,AUTOSERVICIOS SCANNING NOGALES,36b9d77f05494ccc,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,NOGALES,NOGALES,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Surt. Esencial Area 4,AUTOSERVICIOS SURT. ESENCIAL AREA 4,1cafbec93afe67a8,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_4,AREA_4,NO,NO,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Ahome,AUTOSERVICIOS SCANNING AHOME,897bd88b5699445a,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,AHOME,AHOME,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Guadalajara,AUTOSERVICIOS SCANNING GUADALAJARA,a43f497a9fa06fa8,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,GUADALAJARA,GUADALAJARA,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Valle de Mexico,AUTOSERVICIOS SCANNING VALLE DE MEXICO,bc1f1c43144a88f9,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,VDM,VDM,VDM,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Torreon,AUTOSERVICIOS SCANNING TORREON,466b11e9c75131e3,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,TORREON,TORREON,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Irapuato,AUTOSERVICIOS SCANNING IRAPUATO,9683fa801cd28570,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,IRAPUATO,IRAPUATO,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Surt. Extendido Area 4,AUTOSERVICIOS SURT. EXTENDIDO AREA 4,dcae1a0fb60352fc,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_4,AREA_4,NO,NO,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Surt. Completo Area 3,AUTOSERVICIOS SURT. COMPLETO AREA 3,b2641e877a5f05d8,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_3,AREA_3,NO,NO,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Surt. Esencial Area 6,AUTOSERVICIOS SURT. ESENCIAL AREA 6,ebc145cbdae80bfb,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_6,AREA_6,NO,NO,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Reynosa,AUTOSERVICIOS SCANNING REYNOSA,b25c249adc0e1f1d,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,REYNOSA,REYNOSA,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Campeche,AUTOSERVICIOS SCANNING CAMPECHE,37e1dba9919462f3,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,CAMPECHE,CAMPECHE,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autos Scanning Areas 1 + 2,AUTOS SCANNING AREAS 1 + 2,c8f55e5e92545901,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,TOTAL,AREA,AREA_1_2,AREA_1_2,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Puerto Vallarta,AUTOSERVICIOS SCANNING PUERTO VALLARTA,92ac3b741c694db3,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,PUERTO VALLARTA,PUERTO VALLARTA,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Tampico,AUTOSERVICIOS SCANNING TAMPICO,524bc30224e5402f,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,TAMPICO,TAMPICO,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Cuernavaca,AUTOSERVICIOS SCANNING CUERNAVACA,4f1af048d5530138,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,CUERNAVACA,CUERNAVACA,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Nuevo Laredo,AUTOSERVICIOS SCANNING NUEVO LAREDO,b3fc02f12c897353,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,NUEVO LAREDO,NUEVO LAREDO,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Durango,AUTOSERVICIOS SCANNING DURANGO,67232a0c774c7845,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,DURANGO,DURANGO,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Cd. del Carmen,AUTOSERVICIOS SCANNING CD. DEL CARMEN,0c1e702a2e7946fc,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,CD DEL CARMEN,CD DEL CARMEN,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Xalapa,AUTOSERVICIOS SCANNING XALAPA,e845bf8f417a0bae,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,XALAPA,XALAPA,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autos Scanning Area 3,AUTOS SCANNING AREA 3,9c61b912bb439082,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,TOTAL,AREA,AREA_3,AREA_3,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Surt. Completo Total Mexico,AUTOSERVICIOS SURT. COMPLETO TOTAL MEXICO,192b7475c218178f,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,TOTAL_MEXICO,TOTAL_MEXICO,TOTAL_MEXICO,YES,NO,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Cd. Obregon,AUTOSERVICIOS SCANNING CD. OBREGON,0f2f698f37bd3f29,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,CD OBREGON,CD OBREGON,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning San Luis Potosi,AUTOSERVICIOS SCANNING SAN LUIS POTOSI,b7418880d12103e1,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,SAN LUIS POTOSI,SAN LUIS POTOSI,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Monclova,AUTOSERVICIOS SCANNING MONCLOVA,2ed4902b17856785,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,MONCLOVA,MONCLOVA,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Los Cabos,AUTOSERVICIOS SCANNING LOS CABOS,5a0f80d1fc6b5515,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,LOS CABOS,LOS CABOS,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Surt. Completo Area 6,AUTOSERVICIOS SURT. COMPLETO AREA 6,9be1e48a8d5b4cc1,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_6,AREA_6,NO,NO,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Surt. Esencial Area 5,AUTOSERVICIOS SURT. ESENCIAL AREA 5,56e3d1d1989f4057,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_5,AREA_5,NO,NO,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Chihuahua,AUTOSERVICIOS SCANNING CHIHUAHUA,a1eb4ce5822fce2a,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,CHIHUAHUA,CHIHUAHUA,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autos Scanning Total Mexico,AUTOS SCANNING TOTAL MEXICO,c42c8901f134c8d4,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,TOTAL,TOTAL_MEXICO,TOTAL_MEXICO,TOTAL_MEXICO,YES,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Delicias,AUTOSERVICIOS SCANNING DELICIAS,0a3183a268893ec1,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,DELICIAS,DELICIAS,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Hermosillo,AUTOSERVICIOS SCANNING HERMOSILLO,74f0b28831f6c902,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,HERMOSILLO,HERMOSILLO,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Surt. Completo Area 2,AUTOSERVICIOS SURT. COMPLETO AREA 2,9a2ed8cfe792206e,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_2,AREA_2,NO,NO,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autos Scanning Area 5,AUTOS SCANNING AREA 5,c0082b25efd6cee0,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,TOTAL,AREA,AREA_5,AREA_5,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Morelia,AUTOSERVICIOS SCANNING MORELIA,94c3f9df93fdcd6a,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,MORELIA,MORELIA,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Surt. Esencial Area 2,AUTOSERVICIOS SURT. ESENCIAL AREA 2,d07bd3e48ccf65cb,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_2,AREA_2,NO,NO,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Coatzacoalcos,AUTOSERVICIOS SCANNING COATZACOALCOS,7619544b37fd999e,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,COATZACOALCOS,COATZACOALCOS,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Puebla,AUTOSERVICIOS SCANNING PUEBLA,14db8af6a62d5787,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,PUEBLA,PUEBLA,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Monterrey,AUTOSERVICIOS SCANNING MONTERREY,a38866370a4f4011,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,MONTERREY,MONTERREY,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
